,0
Soil_Type29,9702
Soil_Type10,7797
Soil_Type30,3623
Soil_Type38,3269
Soil_Type12,2579
Soil_Type39,2460
Soil_Type23,2271
Soil_Type6,2232
Soil_Type1,2008
Soil_Type13,1738
Soil_Type2,1569
Soil_Type4,1497
Soil_Type3,1386
Soil_Type5,1281
Soil_Type33,1258
Soil_Type17,1126
Soil_Type11,1031
Soil_Type20,972
Soil_Type32,969
Soil_Type40,898
Soil_Type18,782
Soil_Type16,761
Soil_Type24,709
Soil_Type31,638
Soil_Type22,341
Soil_Type14,302
Soil_Type35,286
Soil_Type37,279
Soil_Type19,204
Soil_Type26,70
Soil_Type36,44
Soil_Type34,34
Soil_Type28,17
Soil_Type21,16
Soil_Type27,15
Soil_Type9,5
Soil_Type15,3
Soil_Type8,1
Soil_Type7,0
Soil_Type25,0
